objectid,filename,youtubeid,vimeoid,title,format,description,creator,recipient,date,item_information,subject,location,latitude,longitude,source,identifier,rights,rightsstatement,type,culture
coll011,11,,,"Votive slip folio 1 recto 1, 769.952.C685 v.21",image/jpg,Four-unit votive slip with double black border. Depicts people crossing a river on backs of red ogre and old man. Upper left and bottom right corner lift up illusionistically to reveal text. Red seal in bottom left corner.,Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.",769_952_c685_v21_0004a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll012,12,,,"Votive slip folio 4 verso 2, 769.952.C685 v.35",image/jpg,"Two-unit votive slip with two creatures, adult and child, sitting and eating on grass. Red slip with black text in upper left, black slip with white text in bottom right.",Unknown,,Unknown,single-page; print,Oni; Day in the Life of Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v35_0009b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll013,13,,,"Votive slip folio 1 recto 4, NE1184.35.N67 v.53",image/jpg,Two-unit votive slip with double black border. Kabuki figure killing animal.,Unknown,,Unknown,single-page; print,Cats,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v53_004d,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll014,14,,,"Votive slip folio 14 verso 1, NE1184.35.N67 v.30",image/jpg,Single-unit votive slip with black border. Patterned background. Image of person carrying package. Black text in blue shape.,Unknown,,Taishō period (1912-1926),single-page; print,Cats,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v30_029a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll015,15,,,"Votive slip folio 2 recto 6, NE1184.35.N67 v.18",image/jpg,"Single-unit votive slip with double black border. Figure in silhouette. Black slip with white text, orange slip with black text in upper right corner.",Unknown,,Taishō period (1912-1926),single-page; print,Cats,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v18_006f,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll016,16,,,Nōsatsu,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Demons; Kyōshi,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.855,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll017,17,,,Nōsatsu of flaming wheel,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Demons; Kyōshi,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.854,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll018,18,,,Nōsatsu of flaming brush,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Demons; Kyōshi,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.853,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll019,19,,,Pasting Votive Slips on a Statue of Enma,image/jpg,"A gargantuan 32-chō image of a statue of Enma festooned with senjafuda. At the bottom of the composition, dwarfed by the statue, we see daring pasters in action, with ladders, pole-mounted brushes, and chests containing their daimei fuda. The reddish-brown surfaces to the sides and top of the statue are meant to be understood as a gate through which we are viewing the scene; at the top is a huge ema, with a black frame, held up by two metal clamps. The bottoms of huge hanging lanterns can be seen through the gate. Gateposts and lintel are also covered with senjafuda, and the ema on the lintel is filled with more daimei. Each of these slips-within-the-slip represents a real-life senjafuda practitioner who participated in the funding of this slip. The contrast between Enma’s ferocious expression and the nonchalance with which dozens of pasters have violated his sanctum makes this scene a masterpiece of humor as well as of senjafuda design.",Unknown,,Unknown,single-page; print,Enma,Japan,35.6762,139.6503,"""Pasting Votive Slips on a Statue of Enma,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll020,20,,,"Votive slip folio 2 verso 1, NE1184.35.N67 v.4",image/jpg,"A large (4-chō) depiction of a statue of Enma with four senjafuda pasted to his chest. It’s possible that this is only the left side of an 8-chō composition, and that the right side is missing from the Starr collection, but it’s also possible that this is the complete composition. The framing emphasizes both the monumental size of this statue of Enma and the comical impudence of the four strips that have been affixed to it.",Unknown,,Unknown,single-page; print,Enma,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v04_005a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll021,21,,,"Votive slip folio 3 recto 2, 769.952.C685 v.7",image/jpg,"A statue of Enma with a senjafuda pasted onto his nose. The senjafuda on Enma’s nose says “Yasu,” part of the name of the sponsor of this trip; a fuller version, “Ieyasu of Yoshiwara,” is given above the statue. The miniature senjafuda pasted onto Enma’s nose is actually a separate piece of thin paper pasted onto the senjafuda.",Unknown,,Unknown,single-page; print,Enma,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v7_0008b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll022,22,,,"Votive slip folio 9 verso 3, 769.952.C685 v.36",image/jpg,Two-unit votive slip with black border. Depicts bronze-colored sculpture of angry man or creature with yellow eyes and yellow teeth. Sitting in large chair at table with vase out of which pours smoke. Red slip with black text along upper right edge. Multiple black and white slips along bottom border edge.,Unknown,,Unknown,single-page; print,Enma,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v36_0019c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll023,23,,,"Votive slip folio 8 recto 6, 769.952.C685 v.27",image/jpg,"Single-unit votive slip with double black border. Red flower symbol with black text at top, black slip with white text below. Red mask below.",Unknown,,Taishō period (1912-1926),single-page; print,Enma,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v27_0018f,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll024,24,,,"Votive slip folio 12 verso 2, 769.952.C685 v.13",image/jpg,Single-unit votive slip with double black border. Bright pink background above with red seal at right. Image of bearded male with elaborate hat below. He holds white slip with black text.,Unknown,,Unknown,single-page; print,Enma,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v13_0025b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll025,25,,,Nōsatsu of King of Hell Judging Nōsatsu Group,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Enma; Oni,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.1687,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll026,26,,,Netsuke of Fox Priest with reversible face,image/jpg,,Unknown,,"Edo (Tokugawa) period (1615-1868), 19th century?",netsuke; wood,Foxes,Japan,35.6762,139.6503,"The Elizabeth Cole Butler Bequest to the Museum, 2004, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",TN00562.435,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll027,27,,,Samurai (?) wearing fox mask,image/jpg,,Unknown,,Unknown,netsuke; ivory,Foxes; Masks,Japan,35.6762,139.6503,"The Elizabeth Cole Butler Bequest to the Museum, 2004, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",TN00562.363,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll028,28,,,Fox priest,image/jpg,,Unknown,,Unknown,netsuke; ivory,Foxes,Japan,35.6762,139.6503,"The Elizabeth Cole Butler Bequest to the Museum, 2004, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",TN00562.354,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll029,29,,,Toyokawa Inari Dakiniten,image/jpg,Three foxes playing a rope game with a villager at Toyokawa Inari Temple.,Unknown,,Unknown,single-page; print,Foxes,Japan,35.6762,139.6503,"""Toyokawa Inari Dakiniten,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll030,30,,,Gōriki Inarisha,image/jpg,A fox figure refereeing a sumo match between villagers while other foxes watch at Gōriki Inarisha,Unknown,,Unknown,single-page; print,Foxes,Japan,35.6762,139.6503,"""Gōriki Inarisha,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll031,31,,,Hikan Inari Jinja,image/jpg,Fox figures playing tricks on worshippers at Hikan Inari Shrine.,Unknown,,Unknown,single-page; print,Foxes,Japan,35.6762,139.6503,"""Hikan Inari Jinja,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.


Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll032,32,,,Ana no Inarisha,image/jpg,Fox figure dancing with villagers at Anano Inari Shrine.,Unknown,,Unknown,single-page; print,Foxes,Japan,35.6762,139.6503,"""Ana no Inarisha,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll033,33,,,"Votive slip folio 17 verso 3, NE1184.35.N67 v.8",image/jpg,"Two-unit votive slip with double black border. Dark green background. Upper right: Blue and white square with black text and red seals. Upper left: black slip with silver text. Below: black ink drawing of fox procession, red seals and black text.",Unknown,,Unknown,single-page; print,Foxes,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v8_035c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll034,34,,,"Votive slip folio 17 verso 3, NE1184.35.N67 v.34",image/jpg,Two-unit votive slip with double black border. Red gate and scene with men and foxes. White slip with red ren mark and black text. Full moon.,Unknown,,Unknown,single-page; print,Foxes,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_035c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll035,35,,,"Votive slip folio 5 verso 6, NE1184.35.N67 v.34",image/jpg,Single-unit votive slip with double black border. Votive picture tablet with white fox.,Unknown,,Unknown,single-page; print,Foxes; Inari; Ema,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_011f,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll036,36,,,"Votive slip folio 7 verso 1, NE1184.35.N67 v.18",image/jpg,"Single-unit votive slip with double black border. Fox in silhouette. Black slip with white text, orange slip with black text in upper right corner.",Unknown,,Taishō period (1912-1926),single-page; print,Foxes,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v18_015a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
